Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
48128230,11/11/2020 04:51:31 PM,11/11/2020 06:23:15 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11433,168-55 93 AVENUE,93 AVENUE,168 PLACE,170 STREET,168 PLACE,170 STREET,,JAMAICA,93 AVENUE,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/11/2020 11:23:19 PM,12 QUEENS,4102110070,QUEENS,"1,042,368","196,259",PHONE,Unspecified,QUEENS,,,,,,,,40.70517151830624,-73.79038376170033,"(40.70517151830624, -73.79038376170033)"
48129831,11/11/2020 08:24:41 AM,11/11/2020 11:03:02 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10011,CHELSEA PIERS,CHELSEA PIERS,11 AVENUE,,11 AVENUE,,,NEW YORK,CHELSEA PIERS,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/11/2020 04:03:04 PM,04 MANHATTAN,1006620011,MANHATTAN,"981,896","211,793",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74799911605187,-74.00849570476608,"(40.74799911605187, -74.00849570476608)"
48130676,11/11/2020 09:31:10 AM,11/11/2020 11:44:33 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10462,1166 ZEREGA AVENUE,ZEREGA AVENUE,POWELL AVENUE,GLEASON AVENUE,POWELL AVENUE,GLEASON AVENUE,,BRONX,ZEREGA AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/11/2020 04:44:35 PM,09 BRONX,2038400001,BRONX,"1,027,203","242,517",ONLINE,Unspecified,BRONX,,,,,,,,40.8322240933785,-73.8447841385165,"(40.8322240933785, -73.8447841385165)"
48130809,11/11/2020 08:59:53 AM,11/11/2020 11:21:50 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11355,BOWNE STREET,BOWNE STREET,BOWNE STREET,SANFORD AVENUE,BOWNE STREET,SANFORD AVENUE,,,,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/11/2020 04:21:53 PM,07 QUEENS,,QUEENS,"1,033,237","215,556",PHONE,Unspecified,QUEENS,,,,,,,,40.75819220291514,-73.82317627073272,"(40.75819220291514, -73.82317627073272)"
48131446,11/11/2020 10:17:13 AM,11/11/2020 11:47:42 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10309,MAGUIRE AVENUE,MAGUIRE AVENUE,MAGUIRE AVENUE,RAMONA AVENUE,MAGUIRE AVENUE,RAMONA AVENUE,,,,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/11/2020 04:47:45 PM,03 STATEN ISLAND,,STATEN ISLAND,"925,416","134,359",PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.53526473518885,-74.21165920115179,"(40.53526473518885, -74.21165920115179)"
48131447,11/11/2020 03:55:02 PM,11/11/2020 04:35:14 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/11/2020 09:35:16 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48131540,11/11/2020 05:23:04 PM,11/11/2020 06:25:29 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10003,3 WASHINGTON SQUARE NORTH,WASHINGTON SQUARE NORTH,UNIVERSITY PLACE,5 AVENUE,UNIVERSITY PLACE,5 AVENUE,,NEW YORK,WASHINGTON SQUARE NORTH,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/11/2020 11:25:36 PM,02 MANHATTAN,1005500001,MANHATTAN,"985,377","205,566",ONLINE,Washington Square Park,MANHATTAN,,,,,,,,40.73090778826059,-73.99593364337622,"(40.73090778826059, -73.99593364337622)"
48133090,11/12/2020 10:07:38 AM,11/12/2020 10:16:47 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,10458,2900 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,BEND,BEDFORD PARK BOULEVARD,BEND,BEDFORD PARK BOULEVARD,,BRONX,SOUTHERN BOULEVARD,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/12/2020 03:17:04 PM,27 BRONX,2032720001,BRONX,"1,016,525","254,691",PHONE,Unspecified,BRONX,,,,,,,,40.865683573882315,-73.88331172804774,"(40.865683573882315, -73.88331172804774)"
48138557,11/12/2020 10:59:09 AM,11/12/2020 11:03:41 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10306,580 NEW DORP LANE,NEW DORP LANE,CUBA AVENUE,WEED AVENUE,CUBA AVENUE,WEED AVENUE,,STATEN ISLAND,NEW DORP LANE,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/12/2020 04:03:43 PM,02 STATEN ISLAND,5040350107,STATEN ISLAND,"955,202","146,164",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.5678147279859,-74.1045529423607,"(40.5678147279859, -74.1045529423607)"
48158151,11/15/2020 01:53:13 PM,11/15/2020 03:20:35 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11369,98-01 25 AVENUE,25 AVENUE,98 STREET,99 STREET,98 STREET,99 STREET,,EAST ELMHURST,25 AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/15/2020 08:20:40 PM,03 QUEENS,4011090016,QUEENS,"1,019,807","217,884",ONLINE,Helen Marshall Playground,QUEENS,,,,,,,,40.76464616762441,-73.87164087247447,"(40.76464616762441, -73.87164087247447)"
